phoneme,time,duration,F0,F1,F2,F3,F4
5,43.05240613050591,0.010627810528675983,8.72919633499103,30.457542582121835,136.30979626458495,101.42313534929879,248.07352483332284
E,26.533921234554068,0.022466948530567025,2.212802345584284,24.781877509098884,104.6802958740815,78.36284962845042,94.99877476814409
O,33.32274840290689,0.025082263818847088,2.2337330328185905,21.74302863119834,64.10604048211046,142.59228087088545,88.76882051889932
U,41.37881786572669,0.009588561183040094,6.5144794026727935,20.815630999969336,252.39863486972078,302.9882530919618,199.26209583875087
a,39.278131864186854,0.02620880739888963,3.9671970017077705,42.63898953795397,123.94834841384538,76.94430233175764,121.30506282955139
e,30.58682552483643,0.015368699670816067,3.4259365601757183,27.733580842023823,49.04882561820084,37.794286674308815,81.83555610969393
i,48.81244099658601,0.021753291610091464,3.3245141280419523,17.23734277621813,57.07472710204945,122.62564067332805,65.62849242860293
o,23.62575324227147,0.01274389385023673,3.2550207039477854,39.35090186614748,73.19167619178687,70.34198081463113,95.4249919778511
u,,,,,,,
