id,phoneme,time,duration,F0,F1,F2,F3,F4,F5
30,\at,43.784717001646364,0.06647097967129412,104.53430464066652,345.63126475466316,1686.3561581715119,2394.3903608417654,3294.0888932512526,3584.5472397655262
30,\at,43.79471700164636,0.06647097967129412,103.8235328588604,326.1063607691852,1720.936952326517,2429.3399913174717,3415.8452475428567,4174.640230812287
30,\at,43.80471700164637,0.06647097967129412,102.92238680216217,309.1432280615994,1751.730061691626,2458.1734475070157,3380.1196415525337,4475.9252133672735
30,\at,43.814717001646365,0.06647097967129412,101.8475587168246,292.27207117605536,1756.6052027062087,2639.9395085160063,3455.978633597273,4507.087811070342
31,\ef,45.551541296232315,0.09772226115854465,124.37761606904593,430.42650384248736,1864.6930958999512,2480.550133453622,3648.6674227465855,3767.0505347726694
31,\ef,45.56154129623232,0.09772226115854465,123.74313616576431,448.5959705453853,1875.870235593365,2481.5212378166902,3613.886456684483,3850.0805713006357
31,\ef,45.57154129623232,0.09772226115854465,120.60440447735641,451.2104205985318,1914.485966854792,2513.2045922097896,3628.4622416897364,3796.686298326686
31,\ef,45.58154129623232,0.09772226115854465,119.7412229684999,457.8782376585099,1910.2994232255865,2492.707533570068,3471.274601473357,3818.207428833285
31,\ef,45.591541296232315,0.09772226115854465,119.3046482417041,465.8836432940264,1922.1787579165502,2502.2817658991075,3426.9086806248633,3902.357956126815
31,\ef,45.60154129623232,0.09772226115854465,119.0784362561988,476.905414089754,1914.678803399952,2508.338798454322,3463.0237997235413,3977.696066375308
31,\ef,45.61154129623232,0.09772226115854465,118.6964244216385,475.2316816364512,1905.4667273535918,2486.61299535299,3556.2455935216844,4012.709801257401
31,\ef,45.621541296232316,0.09772226115854465,117.94927329317237,474.5854128919055,1885.9542324095867,2514.5914426226805,3606.541056010854,4082.7065212674197
31,\ef,45.63154129623232,0.09772226115854465,117.38032782114325,471.0245338501778,1874.3444646286355,2547.994653826304,3624.016099646252,4166.001640446879
31,\ef,45.64154129623232,0.09772226115854465,116.80626861509815,457.48990047706206,1866.2806536251724,2559.0322129986102,3682.2704321375927,4207.154352005474
32,\at,45.845700183882144,0.05853414627770803,118.13401578124636,394.9288442062742,1701.730532194001,2438.1507657527304,3696.963743383949,4189.555102110388
32,\at,45.85570018388215,0.05853414627770803,115.59482689440608,400.3482332020371,1722.470771335362,2422.197747942411,3599.335024976233,3869.2017998628953
32,\at,45.86570018388215,0.05853414627770803,113.69065971512897,393.46724813504795,1723.2410832615512,2436.2808565116297,3510.7529456965844,3900.5962645843088
32,\at,45.875700183882145,0.05853414627770803,112.29420966695754,365.66827075487015,1718.9801446820459,2438.269116386305,3456.5798596694567,3860.928734145965
32,\at,45.88570018388214,0.05853414627770803,110.97006232945574,324.14102324855315,1719.1167547977718,2452.5217617526355,3601.6608308395853,3995.86524472782
32,\at,45.89570018388215,0.05853414627770803,109.76540167084367,278.7628655321976,1706.741969453003,2457.1142423226543,3642.864145232287,4289.270794816396
33,\ef,47.75092216242531,0.11855644881671168,112.47522287278017,455.3771922396622,1598.8705719718464,2430.3155598439325,3612.3694464932946,4152.518010088301
33,\ef,47.76092216242532,0.11855644881671168,112.79879752489187,442.58161431213114,1687.2729136210073,2371.8298731099185,3637.9766526722537,3877.901988999909
33,\ef,47.770922162425315,0.11855644881671168,113.26863528222479,435.68935398549473,1762.28108339415,2389.8834710332794,3602.060251790757,4263.563175468218
33,\ef,47.78092216242531,0.11855644881671168,113.6423499860456,435.28758335920685,1791.1806105822704,2403.014474182769,3657.727252511046,4481.193894270322
33,\ef,47.79092216242531,0.11855644881671168,113.68930568604965,442.747958605907,1794.6107630682845,2390.740850151767,3794.9017628638735,3902.144139157242
33,\ef,47.800922162425316,0.11855644881671168,113.42900899967557,443.0697322730564,1811.1355822436276,2341.0341657188114,3687.054459202958,4003.9172572880234
33,\ef,47.810922162425314,0.11855644881671168,113.02632981095628,436.7446845280948,1802.9428636504258,2308.0817218986476,3565.4289633001245,3983.299409897757
33,\ef,47.82092216242531,0.11855644881671168,112.53435685867953,438.3163017927587,1811.839490159768,2365.194858154885,3571.4824695504535,4050.9890761121196
33,\ef,47.83092216242532,0.11855644881671168,111.96012015472742,432.09333884936615,1736.3834893889425,2311.7908742255067,3567.2075641662545,4088.717292860138
