phoneme,time,duration,F0,F1,F2,F3,F4
i,54.29562802208983,0.0734157088906855,120.09435804725244,287.6331016163692,2124.961895450618,2830.4507562221465,3408.939235783426
e,47.821389462481186,0.09375384446174806,119.75758018068396,377.4755766788153,1932.6474067560928,2502.1066695174254,3427.2169769546585
E,91.52174989571921,0.0920176621569091,117.63631531149329,463.69626923485623,1788.768730921718,2387.635102660279,3598.492558509137
a,69.07777375265928,0.10293080807308685,116.27577515447595,589.1214675158728,1426.4158689685996,2333.155098595314,3482.1862782576145
O,71.07950661417415,0.09424989654885962,115.5777842483818,515.3736601258465,1065.2160347663769,2232.1895871510255,3350.5832606173467
o,26.681160743113946,0.08978542776495857,116.5892915542482,470.172871923171,1020.729143848013,2348.9573735971735,3381.138749913491
u,52.224785155608345,0.058038094190607126,121.57927639200136,314.26031002664786,1145.8585951978184,2214.5313055547567,3417.346933671981
