phoneme,time,duration,F0,F1,F2,F3,F4
5,36.908731158324045,0.011827275074728668,5.229165998557969,29.1583592525726,104.37349305744851,123.34658051253015,147.86124951636054
E,37.725620654065175,0.01928808149643543,2.920514519520138,13.399393867312774,75.25478253857625,95.37504085658848,137.2859326120954
I,50.012133732577055,0.002806094356876277,9.263517820264267,34.08860479626611,98.65314116180332,51.10830790004199,31.35822663002286
O,35.41707906039985,0.026326169064107736,1.3642504106928284,15.144244181383376,63.62210555664927,107.65909470396885,132.65417427154895
U,34.60286762727334,0.003156856151482046,7.205195772825185,16.287522441254623,140.38256063736696,187.63136099797384,101.82593418655479
a,41.42064060232209,0.016822919874560974,2.453679252425015,33.999331313147536,120.6161510793168,102.02263099244342,157.76809089726473
e,26.272177052302442,0.01663281003412514,3.7036594056552543,26.32178896334616,65.81114286790226,49.23271065999351,79.14188794910157
i,29.339418367917066,0.014591437700348524,5.527187295068709,19.851851608345818,49.400194529359496,174.28747489731748,162.37784793052475
o,47.47552190405753,0.03266682840436133,2.5837968251800896,34.04087635968645,155.52606225361296,98.69762416542775,58.66611917214023
u,,,,,,,
