phoneme,time,duration,F0,F1,F2,F3,F4
i,77.72125829332548,0.09684434719251556,119.27620833056044,273.02256510685385,2087.9324771583606,2806.810837171623,3412.568589081945
e,40.85940445538631,0.08731867369817081,117.13259372242428,361.353492419771,1924.4718956796555,2430.4882924698704,3407.4127128088176
E,53.98200036620956,0.1042532043547908,113.96853252715354,464.74101666004617,1784.7824609127638,2359.986651656773,3490.2974344856775
a,78.96294702289178,0.11667713011748759,112.98463362432595,584.5054955454104,1378.0793801430277,2325.523692791975,3550.2522694113627
O,60.74253191528554,0.08811247982269599,112.18640446570974,543.527784852905,1084.2227871835755,2320.0538435797453,3340.1685568919656
o,92.18719706642847,0.09684434719252266,116.06122816896081,423.34507388875863,1013.7629640725551,2293.792964198687,3256.472828642734
u,10.4408959516055,0.10425320435478548,122.73210373424229,276.17027832958166,1057.2791132357247,2217.747826235798,3522.6424140379327
