id,phoneme,time,duration,F0,F1,F2,F3,F4
1,i,6.18053949759872,0.10372400027176633,121.50207736385752,260.5351705554105,2066.0035725870966,2720.881771802957,3509.079032520753
2,i,8.253144833153884,0.11748330643026605,120.35735068873038,262.775789268068,2016.7367892553343,2633.64213291509,3361.513830421317
3,U,8.382490139720034,0.03757348989436515,120.92868839444604,288.1070188799889,1376.485999089405,2170.523529262409,3764.2755057193917
4,u,10.4408959516055,0.10425320435478548,122.73210373424229,276.17027832958166,1057.2791132357247,2217.747826235798,3522.6424140379327
5,5,10.635223605228283,0.0645628981283437,124.99260413632813,320.7388055726343,1493.5687171362986,2372.4987231341515,3829.980931111919
6,i,12.287596967915846,0.07821736011005598,118.35094486940636,286.18763098227987,2169.4448713306174,3010.0834282393544,3383.0714503380377
7,5,12.449059090814075,0.05874165321513303,123.23386067685774,294.68542180283276,1918.849331592685,2487.719193527875,3428.242156469494
8,O,14.320875970149359,0.09261071452836234,116.33186819271037,537.5906005362187,1064.6305242449125,2390.4299713772916,3413.039117316346
9,e,16.447531455800956,0.07461777570571115,118.29960051391612,367.6921464812306,1933.7471108800235,2487.686843983427,3326.785494249566
10,5,16.683374191152065,0.04656995930569252,132.84011257998574,366.81348335254654,1563.7514597908034,2363.1883981961278,2658.145747445429
11,a,18.25958058741113,0.049745183803807436,106.86636147696107,633.336300569413,1245.2931556078074,2294.256239917292,3552.5552817426737
12,5,18.453032118543334,0.03810269397738253,121.18584765496465,402.33020661928924,1387.520938553649,2280.9002902524653,3538.2968066652566
13,e,20.3018176375297,0.07144255120759269,117.18142890889993,360.29821607487287,1880.5111829117143,2425.6667024612525,3451.622464640342
14,a,22.030562217796394,0.12383375542649945,112.7382761967854,578.2197385370016,1500.1775271259726,2266.043148614469,3733.415709758297
15,5,22.249580177645615,0.05768324504909472,118.12496071334947,374.4706990885053,1536.5280516948048,2274.9542968538763,3681.1368014232235
16,e,24.11721830189412,0.07461777570571115,114.6842626277195,349.78608671578206,1919.478236582332,2435.3098824784884,3284.077678687506
17,O,26.0803832364411,0.08467265328307505,115.37583971501171,549.4649691695913,1133.76824680276,2228.501777106452,3267.1770266585604
18,5,26.286882583973327,0.046040755222669816,121.53183060769828,387.8064564752935,1337.4206127995046,2157.7592840422244,3542.9936533812474
19,a,28.04323967410678,0.11854171459630435,117.05611537111719,597.4854750355313,1360.193750837661,2192.0340788387293,3515.2489825862417
20,a,30.042627649551896,0.13918067383405486,112.4795510803082,615.8389269754864,1406.8062972479622,2410.871646113779,3703.7668814208437
21,E,32.107057162162825,0.08943549003024742,118.02805572439115,472.7433031060225,1735.8387123821033,2472.698260431526,3570.168141392581
22,5,32.303501632117694,0.04815757155475353,120.10594937471731,373.0531106252613,1532.9130148055665,2233.979311717025,3519.7129343634892
23,e,35.927220663274404,0.08573106144911691,116.31250999320145,367.3712760277292,1974.6789992291815,2437.5222517640977,3380.6021234303043
