id,phoneme,time,duration,F0,F1,F2,F3,F4,F5
1,i,3.2913267861961297,0.056824976710276864,127.45541575126715,310.79287330622765,2030.8071798914063,2811.064671291106,3324.665511329372,--undefined--
1,i,3.30132678619613,0.056824976710276864,127.69451178518617,311.28271074790337,2039.9077801824417,2828.9420996746408,3363.1323913165843,--undefined--
1,i,3.3113267861961297,0.056824976710276864,127.82329521353638,308.2862460012334,2032.8615843064595,2856.795520154924,2972.969185213165,3407.812206551181
1,i,3.32132678619613,0.056824976710276864,128.10827732866198,304.86365815938393,2018.2203100382599,2822.3720851886283,2886.6881639701205,3432.6210057246026
1,i,3.3313267861961298,0.056824976710276864,128.56022915608511,304.64591061704215,2025.8429650773105,2811.0298498728876,3086.128807640772,3432.2964790648407
1,i,3.34132678619613,0.056824976710276864,128.52197015550732,303.9873473183307,2010.3941767024228,2709.2939975887557,3390.761598064803,3803.6039896576945
2,\ic,3.489894963239906,0.04533228479134488,137.5989755810916,407.27660245190117,1710.1282183836545,2453.889961239817,3410.829663405413,3665.3501833364403
2,\ic,3.4998949632399063,0.04533228479134488,136.784009084261,405.1189863371415,1671.865262441247,2434.655939330279,3408.3018583957,3807.2634584370744
2,\ic,3.509894963239906,0.04533228479134488,134.75000372421695,396.97282183270755,1614.7668159765662,2420.702228549881,3408.3749526979577,3533.2384188668743
2,\ic,3.5198949632399064,0.04533228479134488,131.82759126272381,382.91217048628334,1576.8321156654104,2401.259359821167,3409.5415829722792,3552.5291528335047
2,\ic,3.529894963239906,0.04533228479134488,128.0175563168399,360.89883428572836,1539.1155789734148,2382.93424628511,3375.729878659629,3416.253612428177
3,o,5.114641572011895,0.11811933361124982,127.6754792859803,400.768792695708,1144.284749506373,2568.5687137410414,3174.1837910656996,4134.988398850229
3,o,5.124641572011895,0.11811933361124982,126.00021277349946,407.4193352533999,1089.3077064030756,2613.958263026316,3176.53743661126,4160.42706361568
3,o,5.134641572011896,0.11811933361124982,124.22230395414213,408.3472603287437,1035.6992525391183,2623.586017008021,3148.370707694534,4014.783012907542
3,o,5.144641572011896,0.11811933361124982,122.58106978497318,405.56230723459595,998.6712303707155,2595.7634455561824,3148.0155240612407,4074.204948506875
3,o,5.154641572011895,0.11811933361124982,121.71578037491359,400.8268528076268,979.836494626895,2596.616859323254,3155.687251891938,4084.844887597042
