id,phoneme,time,duration,F0,F1,F2,F3
1,a,1.562530776784903,0.1004873831886144,107.44557157141823,617.9085054072409,1504.58026982363,2422.722083574416
2,U,1.7164928057458375,0.06753184354073527,133.68282626328877,381.66159629783766,1512.9814752664945,2402.4198943894053
3,e,3.335202193819063,0.08049795750055644,121.49200577547387,407.98283232094843,1770.67278477001,2542.078373538797
4,5,3.4693125043570063,0.05240471058761065,124.98877255125008,482.7135158955307,1591.286510279607,2339.014059372666
5,e,5.1143507466632245,0.08860177872544472,123.04377713378229,417.90890469337916,1789.9071920553893,2459.1094209658536
6,I,5.262507680657642,0.051324201090959136,120.92085977234483,373.4440116564883,1643.116126182621,2325.3533817906755
7,e,6.883673592335036,0.061048786560824915,125.99742909843633,390.12550185337653,1974.8112680091601,2650.888204635307
8,5,7.113822115121863,0.061048786560824915,123.20949922012505,488.4451070976531,1496.837834072326,2634.917065849294
9,e,8.763985163810183,0.048622927349329714,118.29643006154393,400.789270447763,1909.0455484371628,2621.770960610705
10,5,9.001294705590313,0.05780725807086995,120.87871005603377,409.68137511943195,1431.5092074714532,2483.121179231987
11,e,10.689462780372072,0.1004873831886144,118.39128350911896,367.4332286380173,1768.0358269129042,2435.6896525829743
12,I,10.902312576900526,0.06429031505077988,122.15856514548861,378.6869729931826,1693.5736796438448,2418.9638198440034
13,a,12.62098326232489,0.07725642901060148,111.84025954464491,683.6995193776561,1407.9266554419783,2364.077337627206
14,U,12.879892419726115,0.049703436845980775,127.30997909592072,357.927561805025,1396.322618568475,2489.6485851901134
15,i,14.606272626633029,0.07293439102399546,121.69231007046166,296.09008451322967,1966.0195269806402,2872.8046399239065
16,I,14.824800385174877,0.052404710587611085,126.85595623879745,374.70984965373094,1647.6349401175291,2504.6723199969992
17,a,16.635994666399046,0.10913145916182998,108.32260972128739,667.4643658563268,1486.8597782937024,2320.381191423326
18,5,16.856270322139,0.05780725807086995,122.4416551422339,423.515746078549,1543.8731221571113,2514.00321503935
19,o,18.638288520382535,0.07509541001729758,115.12526000174101,412.979944793084,950.990991137605,2511.6754240722075
20,I,18.896657423035432,0.049444517797699206,130.3239624094173,373.35845360142866,1616.1422540781084,2445.543998144022
21,i,20.80173016554307,0.04916318209765791,126.97289711353451,308.1268478729261,1827.686300367504,2304.1614515529845
22,I,21.066592699487824,0.05618649382589425,132.13075690741266,381.4841300658274,1709.327608579234,2477.252484808908
23,a,22.96911477640183,0.13236241333984464,114.80162630544818,636.2240638917156,1425.6675528554674,2478.1148449894067
24,5,23.21788622653799,0.07023311728236692,124.56218273619604,516.2642208857073,1591.1259502823668,2583.4309171709733
25,o,25.10269053422853,0.10426916642689933,115.83548574001256,517.0606508696594,1054.2273228846561,2564.813343432195
26,I,25.265699186645946,0.05780725807086995,130.3215809093131,368.9778718493142,1506.1721492538254,2386.9676048556626
27,a,27.084193462156357,0.049703436845980775,114.76645370592374,672.1158588158067,1252.845700167372,2376.6800657169106
28,5,27.2674775291039,0.05618649382589425,125.11161240440465,465.21375856368087,1410.4446365239055,2455.3786738996337
29,e,29.10378012122833,0.07509541001729758,117.84125609298607,412.3184554835943,1748.3068376656868,2412.925806246427
30,U,29.317043039551983,0.0653708245474327,129.69800460987065,371.53563049715564,1371.509768264059,2385.3936956035723
31,a,31.269128519475917,0.10480942117522217,119.41283187927739,642.5932188140615,1333.5170556328312,2394.450406532541
32,U,31.426734624410063,0.056186493825890686,133.03375046832,380.6927085798514,1212.3818493911233,2309.877996583284
33,a,33.24845858607062,0.08536025023548888,108.28687297002547,691.6123232233634,1453.905657200473,2430.3965472655377
34,5,33.457124051877535,0.057267003322543523,129.1644611150932,400.4517372003501,1453.2658527698131,2503.722852278328
35,U,35.21010979557547,0.03889834187946661,103.05714676675757,401.48855645389443,1222.017958363523,2446.5064855666988
36,a,35.43663539101297,0.12966113959821254,112.56090371867111,647.0390918851434,1325.181454482429,2360.4265390329897
37,a,37.38610549144377,0.08427974073884315,119.32991070139727,681.527429708275,1378.6536614191532,2396.3704944559777
38,U,37.61165656171386,0.06158904130915487,132.73518295896474,351.7594217026948,1230.7757202909581,2428.8465071803503
39,o,39.49350892435541,0.10967171391015283,113.62080921858988,453.148130238374,1008.383771884472,2571.81224873587
40,I,39.73795833650497,0.04862292734932794,134.38910686994245,363.05253274200595,1684.7472324347468,2501.357313495526
41,E,41.72907986557342,0.09022254297042308,114.1576565235885,405.35633006064876,1803.818701042907,2572.329329893124
42,U,41.999472079954565,0.07509541001729758,126.83970364744576,372.5655984643319,1415.3059779716446,2478.128847745166
43,i,44.04122335261873,0.09400432620870447,117.04280939972791,289.98669444951383,2104.4949872191696,2894.1959337852727
44,I,44.262049837418935,0.0831992312421832,129.49618740891322,369.9189379862357,1815.6318419954127,2562.3913633178718
45,O,46.1236291121014,0.09400432620870447,109.94023398103892,523.5182599408221,1020.8274489913216,2426.592819826684
46,U,46.37174734344694,0.056186493825890686,125.16801902730221,411.6763934377473,1293.1198498661645,2170.939415624774
47,u,48.162814491717995,0.09616534520201014,122.75577036553857,359.5243217014703,1064.4720507744055,2465.685283514832
48,5,48.40105626141777,0.05996827706417208,123.66662168710104,389.48907509793366,1506.838516032252,2372.9503957252728
49,E,50.215765159091,0.09022254297042308,111.31223044623857,578.1821779234463,1565.5807278913521,2465.3024904434706
50,I,50.50060654441187,0.06158904130915487,114.7466731894689,426.5545882620233,1556.6281083604251,2382.579528937344
51,e,52.36826632859097,0.08103821224888462,118.47815247967434,418.0967509062991,1861.260141842507,2507.233962283446
52,I,52.63352083570703,0.049703436845980775,125.74111786368094,376.7862736012767,1745.9191119519721,2526.8581239283476
53,i,54.468765334986564,0.06320980555413057,121.32993519469446,274.0471692059835,2018.6725935463626,2915.03431131626
54,i,56.63788726873151,0.08914203347377025,124.92140062762263,310.5511735744043,1968.1774508747242,2728.786733276871
55,U,56.81792980718909,0.09238356196372877,124.26859446298504,380.1908761420365,1332.6444519523523,2196.6876698369742
57,E,58.75012232998542,0.09022254297042308,109.17826446767947,530.6972833262191,1595.0507305782553,2434.654938526671
58,5,59.0457688102728,0.0696928625340334,115.55399822170851,437.97796535588213,1491.1670392529147,2416.9768083089543
59,o,60.948834736534025,0.0950848357053573,110.14693815031232,445.2970574032482,1036.203470904981,2441.392089254617
60,I,61.21084771516015,0.05888776756751924,127.97324905822859,371.8998583850801,1590.0081698632746,2259.8451151379654
61,a,63.12767300800792,0.10859120441350713,113.08918744524212,686.2449443643135,1419.5719113969528,2495.3072553903226
62,5,63.30364777438515,0.05942802231584921,117.32771676016199,467.1832286978518,1538.9993490786749,2529.59046043178
63,e,65.28625468700453,0.10048738318862148,120.08051872632632,408.54454563855217,1774.738929857275,2515.9425876009404
64,I,65.53354308016078,0.05456572958091499,125.73977788603013,347.47021341705675,1556.1483130396907,2408.411342487801
65,i,67.45037429417843,0.08373948599050607,114.26843116468538,277.8505315079971,2040.906908800652,2782.0196374471975
66,U,67.69793810186482,0.051324201090963584,124.08837166570659,530.0872216658782,1692.72756194195,2629.1093186354087
67,a,69.6335510991208,0.1123729876517814,105.54402682111153,737.3905229345805,1441.0857906430203,2438.205865936091
68,U,69.9213585984015,0.060508531812502035,127.88317017013803,384.7040305837387,1439.421076230922,2394.5744664487383
69,o,71.82061799820166,0.0664513340440891,114.76035666456163,451.0221168287489,1045.1900137052216,2308.8692092900405
70,5,72.04361607630715,0.09022254297042308,120.40104149830559,421.78819205810134,1477.8782025706303,2439.1118512044636
71,o,74.07618069167907,0.08914203347377736,117.87268895097269,456.1129167475922,836.7518717354584,2494.4366938680846
72,5,74.30484615748598,0.09832636419531582,119.45786994499562,441.5033774202044,1550.435105274282,2238.9864171901745
73,E,76.2562454276558,0.11291324240011134,106.38547556148308,524.4376424230398,1643.5624596184798,2588.8706959876226
74,I,76.44856554374789,0.0713136267790162,115.76125776137421,430.6797282309974,1708.6296796734855,2488.533206928717
75,E,78.49546044484725,0.09670559995034013,113.17566637786986,485.1455506785579,1618.067696266698,2427.140178651922
76,I,78.70236743914415,0.05402547483258502,118.27066276857262,398.68812731782776,1703.6726420210373,2522.9123486929625
77,e,80.67875613500199,0.08968228822210733,111.25808463759981,428.32249136412855,1836.6081703980708,2557.633143253489
78,5,80.97832210579273,0.06320980555413769,119.09219029761003,456.7703771092294,1550.824076970204,2407.984645197886
79,o,82.87636794197337,0.11939629938002838,124.45496979184615,424.173900089441,1044.377624115065,2434.3424717701278
80,U,83.07963086029704,0.08590050498382595,125.05892806354525,386.25296969473624,1280.6753793465737,2318.578513685032
82,5,85.5134835418918,0.08968228822209312,131.36672474165016,468.4355726709417,1519.8323061230683,2394.60259536253
83,e,87.37182128808443,0.09076279771875306,130.07098471276748,456.7499316740635,1638.533781775456,2485.062425445272
84,5,87.5795439516598,0.0713136267790162,135.63906260178365,435.02463512643294,1521.2533695263855,2432.947340042607
85,e,89.43667997657258,0.09022254297042308,116.07819199518917,431.39975714269576,1665.1661457522798,2440.7641822206365
86,U,89.6651971608025,0.05402547483259923,123.90917752105065,362.2815354851118,1416.9701382778078,2481.33276910019
87,o,91.50974952915801,0.0918433072153988,117.88001146779727,439.5550719535734,1044.6759580784433,2451.6351879213807
88,U,91.66641283186055,0.0578072580708664,123.96152138323426,414.487280527323,1341.572228095385,2353.3362583023873
89,e,93.68413397655016,0.07617591951394331,116.83526655942156,419.23996273064563,1742.8918924984716,2433.744401531843
90,I,93.85282059098095,0.04970343684598788,122.09975749666486,359.61235562831126,1778.0818882557421,2524.045370684582
91,e,95.82652450857908,0.09130305246706882,118.4344972231917,447.9190576033972,1810.6011468883403,2536.233828093728
92,I,95.99264755653333,0.0783369385072632,127.06073897302821,371.6017354743642,1747.4791078862695,2394.885118007686
93,a,98.0260113457017,0.06915260778571053,98.3633235701071,701.1499150521519,1343.7989085367005,2349.865475120804
94,U,98.31112814555269,0.05078394634263361,122.59532949631921,376.01837242006104,1390.470177906275,2316.88595828673
95,o,100.19457652921662,0.0664513340440891,118.89278904725332,415.7993539027175,824.8440472607809,2526.930861716366
96,U,100.39041358832878,0.04916318209765791,119.68986631963871,386.68355778472767,1201.9610620632634,2313.7901023053228
97,O,102.19567098849137,0.0783369385072632,113.61685824502182,496.9132625757932,1006.7474752151677,2444.9768314531693
98,5,102.43284049643543,0.042139870369425125,121.91894512294562,460.1521702192169,1475.9210746003475,2246.1176906742485
99,a,104.31360642841061,0.10102763793693724,110.54593999971138,629.9826989232192,1418.4538445717471,2397.536550514069
100,I,104.54671049084536,0.04159961562109515,124.42021089173018,355.4759501606568,1687.4073351816303,2604.81651551485
101,i,106.39857342779896,0.0626695508057935,119.45986862905247,297.2617668569497,2017.8008552923288,2798.904366592136
102,U,106.64088889074908,0.06591107929575912,120.0513722022465,410.9647878417184,1277.4993615426545,2365.962239035965
103,e,108.52419364597807,0.08698101448047169,119.85474948046924,399.77096048655875,1824.5099287218036,2533.0427722326717
104,U,108.72151376207017,0.056186493825890686,125.29110134133923,369.993851275772,1343.78506578238,2323.4226692526117
105,a,110.6966924889072,0.08806152397711743,114.43470558908244,690.412134953175,1362.722813666606,2452.1023141315286
106,I,110.94479655134192,0.0578072580708664,126.20044106941339,376.4415299689065,1735.77959500995,2334.401716999729
107,a,112.86659710096704,0.08860177872544739,118.82470452971569,702.8425029846547,1308.3887096569824,2443.350985754271
108,5,113.04338753662272,0.057807258070880614,122.33406289740759,512.0506812835819,1386.1291225202795,2477.550325723409
109,i,115.05759998603335,0.0610487865608178,120.22800303063414,301.04514159940874,1998.3731893189818,2699.9467082991737
110,U,115.24006838370242,0.051324201090963584,129.72506407235375,426.45233827717743,1415.4165147974338,2349.0006663054405
111,o,117.34545442605595,0.06266955080580773,118.89720821836006,443.84222021403497,970.2946312186215,2559.520434386698
112,I,117.5873508460409,0.051324201090963584,118.720764191756,662.1475199195885,1804.4554735977633,2712.156768550752
113,o,119.54212702539472,0.051324201090949366,119.1993906739877,449.270167187339,1017.6697258276555,2595.7280705311364
114,I,119.73986026328197,0.051324201090949366,118.42641553502109,371.21996494619947,1681.8258889104852,2397.4185661916395
115,i,121.70921739967065,0.07185388152734618,118.83080380658424,270.64431960123665,1947.5295072766237,2802.5690276252926
116,U,121.87817942863158,0.06212929605747775,121.40256645868156,377.828810966528,1501.9574250724197,2320.4883008386632
117,a,123.92993894903681,0.11021196865847573,115.506415835878,645.8327307966766,1373.8535657216305,2452.9065302416075
118,5,124.12874212210882,0.07077337203068622,128.55303107971716,432.99174265207307,1494.9811626210571,2525.4017817952895
119,a,126.17171753270486,0.08319923124219031,117.06154396118349,648.5171489146345,1444.3990805197286,2354.2022255671313
120,U,126.4114529336965,0.07779668375893323,127.76082860623951,417.66041818530465,1275.8343723754986,2417.723909825825
