phoneme,time,duration,F0,F1,F2,F3
i,41.52672499261934,0.01303909764738026,9.154061566909311,14.281574280698498,116.6121549662611,54.23944609385202
e,25.89464178451528,0.028730902518395166,7.502373271344282,20.809805004126282,66.14909588066095,97.28623383320462
E,24.02868844078779,0.02060205724141663,6.214472294068242,23.869732373515905,54.068861077563945,106.28534610179071
a,37.107504205027325,0.01857728755220708,6.9998596180273465,36.06018557207166,76.15802323410324,103.43423271570525
O,34.63845050109429,0.021799251958749172,7.139158361793976,29.25918445897233,41.13757452746377,173.20264182961915
o,21.892429495991475,0.021378470895420578,15.881686275298142,67.6343569900538,79.95068160306433,121.58595125865294
u,,,,,,
