phoneme,time,duration,F0,F1,F2,F3,F4
5,27.71395955470049,0.007755333800558151,6.692209642756303,36.63783090644102,89.07371107405596,167.62115711936556,162.5879845962953
E,26.677231489534098,0.020112587016719283,8.088153280999217,26.07180413916903,71.99537302778678,64.30653053420558,124.69670424301705
I,29.592831496512026,0.011088097963111177,5.911210757856758,8.626011592099767,75.13830011106248,50.7728191002626,113.80303955825983
O,26.103299416185305,0.019272301557406175,6.498469722890746,36.80586394467032,71.93182903215879,143.7354464386773,66.52336833111129
U,29.423214831034375,0.01130256008117606,8.659568323108946,18.369308835179304,117.6947239132148,112.81712855302482,127.03270519572115
\~a,63.458584542218915,0.0022677965532699206,1.3106915400234918,2.1280522901433807,191.40483382853532,48.80863838280404,76.4655244745852
\~e,22.59276232153702,0.017999485112869147,6.317305163863376,19.782357601394477,162.05076012513493,125.16209355940536,47.84430716100038
\~i,20.391172229478244,0.020033597846123363,8.521490839559428,18.133600774813114,308.9466764630877,85.2338897165949,132.18506317639395
\~o,37.012574801476035,0.015865186824101797,6.816566056799716,78.67643176209872,59.99768580837684,191.91177160382423,117.70564461585609
a,29.902160523816512,0.02045820821975597,6.089668762121403,38.44852725054177,72.34462402805647,77.84332828595187,47.59455720144666
e,22.804008765682987,0.041799987214913695,11.78338275709509,27.721037681966173,98.21468197451905,100.90072572909988,117.2606942842045
i,26.277213579607462,0.010006571984397103,10.926245083706704,12.292076295698028,104.20967864844458,94.2868532001305,85.72466628743376
o,30.89747661289172,0.026939606235404572,8.418323039840523,23.76591498773044,106.26076422797072,80.79454910045992,263.87638991863975
u,,,,,,,
