id,phoneme,time,duration,F0,F1,F2,F3,F4,F5
1,i,4.12322568684931,0.063135487502639,152.652612862609,296.50209275795,1853.90451658425,2740.72642259926,3651.10781495062,4293.21144818629
1,i,4.13322568684931,0.063135487502639,155.597479479226,307.974093950409,1864.86579242962,2779.18795257078,3631.57197457524,4350.69290308305
1,i,4.14322568684931,0.063135487502639,160.250533506744,320.526367996906,1884.35918790291,2827.95043561542,3653.13587442977,4297.07986122287
1,i,4.15322568684931,0.063135487502639,165.168891240541,332.425847921767,1883.22451282072,2802.70833772576,3651.91721963228,4391.72259152656
1,i,4.16322568684931,0.063135487502639,170.834540679362,344.674436043078,1919.23034370103,2765.86232936532,3639.32153565431,--undefined--
1,i,4.17322568684931,0.063135487502639,175.387346697378,355.136807217044,1946.58429209647,2726.25596770214,3642.86879162246,--undefined--
1,i,4.18322568684931,0.063135487502639,180.464611368151,365.663436451578,1958.61000703563,2603.91683517662,3620.2851336684,--undefined--
2,\hs,4.297546678892,0.053078507192485,167.879869706812,326.565819864507,1287.41127203116,2171.26238140994,3483.20264190354,4686.170746163
2,\hs,4.307546678892,0.053078507192485,165.439973428168,325.60300910546,1402.20884286009,2155.08123530019,3442.18957123634,4770.74838416587
2,\hs,4.317546678892,0.053078507192485,160.864169546049,320.582489598826,1519.93941867765,2179.9864385493,3400.92269090218,--undefined--
2,\hs,4.327546678892,0.053078507192485,155.149467307322,311.347745100766,1656.14108233793,2170.6665079358,3292.0011615898,--undefined--
2,\hs,4.337546678892,0.053078507192485,148.374496169169,287.886860597933,1782.28595896682,2259.87199809611,3244.53401143822,--undefined--
2,\hs,4.347546678892,0.053078507192485,139.280509839919,200.392206353386,1830.38108972722,2388.40559983602,3239.07757459625,--undefined--
3,u,6.12670130127979,0.102998246074383,149.951542064269,421.182996485751,717.731537121662,2473.59740923974,3496.4425694318,--undefined--
3,u,6.13670130127979,0.102998246074383,151.725259931297,381.255231594173,709.201651261749,2464.24925467111,3504.10315347578,--undefined--
