phoneme,time,duration,F0,F1,F2,F3
5,36.23469153857526,0.018534314012922735,7.608490393747912,54.90154299840002,155.85101651599027,108.3928798827324
E,24.02868844078779,0.02060205724141663,6.214472294068242,23.869732373515905,54.068861077563945,106.28534610179071
I,21.398134262890498,0.010490263471470954,40.380231099114475,27.77608616070661,80.42423431926174,62.36033379764449
O,34.63845050109429,0.021799251958749172,7.139158361793976,29.25918445897233,41.13757452746377,173.20264182961915
U,33.45943459769695,0.014623279480770001,10.082596717724721,25.892620449717622,105.00068914774775,167.70416693370473
a,37.107504205027325,0.01857728755220708,6.9998596180273465,36.06018557207166,76.15802323410324,103.43423271570525
e,25.89464178451528,0.028730902518395166,7.502373271344282,20.809805004126282,66.14909588066095,97.28623383320462
i,41.52672499261934,0.01303909764738026,9.154061566909311,14.281574280698498,116.6121549662611,54.23944609385202
o,21.892429495991475,0.021378470895420578,15.881686275298142,67.6343569900538,79.95068160306433,121.58595125865294
u,,,,,,
